id,ts,duration,trp0,trp1,trp2,trp3,trp4,trp5,trp6,trp7,grp
115,1549227600,324,0,0,0,101.00,53.77,0,94.63,0,0
116,1549229400,324,0,0,0,58.69,66.74,0,38.02,0,0
117,1549231200,324,0,0,0,0,48.79,0,139.81,0,0
118,1549233000,324,0,0,0,0,57.28,0,91.00,130.00,0
119,1549234800,324,0,0,0,0,130.25,0,10.46,0,0
120,1549236600,324,0,0,0,0,2.67,0,71.19,0,0
121,1549252800,324,142.03,0,0,0,103.67,58.89,4.70,0,0
122,1549254600,324,67.88,0,0,109.60,41.48,34.18,57.48,65.00,0
123,1549256400,324,51.50,0,0,94.00,48.00,49.26,0,0,0
124,1549258200,324,16.82,0,0,89.10,117.53,81.30,0,0,0
125,1549260000,324,0,0,0,0,10.46,108.00,0,0,0
126,1549261800,324,0,0,84.00,0,21.38,127.90,0,17.00,50.50
127,1549263600,324,0,0,48.50,0,119.73,169.04,0,0,166.28
128,1549265400,324,0,0,148.00,0,22.63,163.53,0,0,76.00
129,1549267200,324,0,0,60.62,0,85.82,53.69,0,0,95.26
130,1549269000,324,0,26.02,41.00,91.92,37.68,18.25,0,70.00,23.50
131,1549270800,324,0,37.48,0,134.00,43.88,67.18,0,0,0
132,1549272600,324,0,93.31,0,9.90,0.47,50.53,0,0,0
133,1549274400,324,0,165.00,0,0,0,10.50,0,0,0
134,1549276200,324,0,65.60,0,0,0,37.50,60.26,24.00,0
135,1549278000,324,0,69.30,0,0,0,33.91,82.88,0,0
136,1549279800,324,0,13.01,0,0,0,18.93,126.21,0,0
137,1549281600,324,0,0,0,0,0,0,87.50,0,0
138,1549283400,324,15.01,0,53.50,83.44,0,0,184.00,153.00,31.00
139,1549285200,324,31.00,0,117.78,81.00,0,0,139.81,0,81.41
140,1549287000,324,85.56,0,18.00,130.81,0,0,80.09,0,80.00
141,1549288800,324,130.77,0,134.23,0,0,0,71.71,0,149.82
142,1549290600,324,22.22,0,56.50,0,0,0,55.31,68.00,42.50
143,1549292400,324,110.00,0,0,0,0,0,0,0,0
144,1549294200,324,68.58,0,0,0,0,0,0,0,0
145,1549296000,324,72.75,0,0,0,0,0,0,0,0
146,1549297800,324,54.45,64.29,0,116.67,0,0,0,90.00,0
147,1549299600,324,37.50,35.36,0,1.00,0,0,0,0,0
148,1549301400,324,22.52,113.64,0,71.42,0,0,0,0,0
149,1549303200,324,0,164.00,0,0,0,0,0,0,0
150,1549305000,324,0,140.43,33.00,0,0,0,0,49.00,73.00
151,1549306800,324,0,93.34,103.06,0,0,0,0,0,155.88
152,1549308600,324,0,23.34,185.00,0,0,0,0,0,117.00
153,1549310400,324,0,0,99.59,0,0,0,0,0,1.73
154,1549312200,324,0,0,95.50,108.19,21.59,0,28.43,34.00,99.50
155,1549314000,324,0,0,0,108.00,12.67,0,101.10,0,0
156,1549315800,324,0,0,0,70.00,47.22,0,4.85,0,0
157,1549317600,324,0,0,0,0,11.17,0,17.12,0,0
158,1549319400,324,0,0,0,0,40.31,0,158.00,117.00,0
159,1549321200,324,0,0,0,0,11.33,0,124.59,0,0
160,1549323000,324,0,0,0,0,8.91,0,133.49,0,0
